note,filter,night,season,fiveSigmaDepth,airmass,observationStartMJD,numExposures,visitExposureTime,seeingFwhmEff,seeingFwhmGeom
DD:XMM_LSS,i,1203,4,23.251861541883272,1.278425636614821,61421.06207889368,2.0,30.0,0.978751801384482,0.8565339807380442
DD:XMM_LSS,i,1212,4,23.107110664960587,1.4815773402450272,61430.06884874053,2.0,30.0,1.1368347750626575,0.9864781851015043
DD:XMM_LSS,i,1218,4,23.112755858771294,1.37855362702729,61436.03889248026,2.0,30.0,1.1962559687448295,1.0353224063082496
DD:XMM_LSS,i,1225,4,22.85554925727297,1.6258566304706936,61443.05125677886,2.0,30.0,1.6146261516052847,1.379222696619544
DD:XMM_LSS,i,1244,4,22.92897119808817,2.076799367114489,61462.02628731345,2.0,30.0,1.267379981951969,1.0937863451645187
DD:XMM_LSS,i,1392,5,23.12279864151025,1.1232975156673484,61610.43334168065,2.0,30.0,1.0097670127985856,0.8820284845204374
DD:XMM_LSS,i,1393,5,23.17203113645144,1.115722355589992,61611.436963096334,2.0,30.0,0.9255816759778814,0.8128281376538186
DD:XMM_LSS,i,1400,5,23.484718448541557,1.1148043525996176,61618.41783139296,2.0,30.0,1.098905774007641,0.955300546234281
DD:XMM_LSS,i,1407,5,23.91969286308808,1.1111972485855315,61625.416152598475,2.0,30.0,0.737404105702804,0.6581461748877049
DD:XMM_LSS,i,1414,5,23.44026817136461,1.126560882256098,61632.426089514345,2.0,30.0,0.8888824306714973,0.7826613580119708
DD:XMM_LSS,i,1422,5,23.288958191195334,1.1111429394860475,61640.38422506619,2.0,30.0,0.9140711438741733,0.8033664802645705
DD:XMM_LSS,i,1429,5,23.37847068387473,1.1114617364619774,61647.363349423584,2.0,30.0,1.235650525788778,1.0677047321983755
DD:XMM_LSS,i,1444,5,22.510379219442832,1.2741004381452878,61662.39811495092,2.0,30.0,1.9117608862624755,1.623467448507755
DD:XMM_LSS,i,1451,5,22.719357830901025,1.843474840427965,61669.14392415297,2.0,30.0,1.6388620567181256,1.3991446106222991
DD:XMM_LSS,i,1458,5,23.139676663088995,1.109488165969694,61676.29095765067,2.0,30.0,1.5376547931814777,1.3159522399951746
DD:XMM_LSS,i,1465,5,23.922541618819544,1.1093665388242764,61683.26996309814,2.0,30.0,0.7456079086320666,0.6648897008955588
